location,total_sqft,bath,balcony,price,oda,metrekare,price_per_m2
other,845.0,2.0,1.0,55.0,2,78.503035,700.6098554024059
Whitefield,5700.0,5.0,3.0,650.0,4,529.5471,1227.4639970646615
Varthur,1160.0,2.0,2.0,44.0,2,107.76748,408.28643297588474
Bommanahalli,3000.0,8.0,0.0,140.0,8,278.709,502.3160357218461
Doddathoguru,1100.0,2.0,1.0,62.0,2,102.1933,606.6933937939181
Gunjur,1140.0,2.0,3.0,43.0,2,105.90942,406.0073221060034
Marathahalli,1220.0,2.0,1.0,57.0,2,113.34166,502.9042278011456
Devarachikkanahalli,1350.0,7.0,0.0,85.0,8,125.41905,677.727984704078
Kanakpura Road,1005.0,2.0,1.0,36.68,2,93.367515,392.8561234600707
other,500.0,3.0,2.0,100.0,3,46.4515,2152.7830102364833
Begur Road,1358.0,2.0,1.0,80.58,2,126.162274,638.7012333021202
Hegde Nagar,1569.0,3.0,1.0,101.0,3,145.764807,692.8970173163952
Haralur Road,1240.0,2.0,1.0,70.0,2,115.19972,607.6403657925557
Hennur Road,2089.0,3.0,2.0,140.0,3,194.074367,721.3729569964281
Kothannur,1206.0,2.0,1.0,48.23,2,112.041018,430.46734902033825
Kalena Agrahara,1150.0,2.0,3.0,40.0,2,106.83845,374.39704525851886
other,2511.0,3.0,3.0,205.0,3,233.279433,878.7744267193927
Kaval Byrasandra,460.0,1.0,0.0,22.0,2,42.73538,514.7959372304634
ISRO Layout,4400.0,6.0,3.0,250.0,6,408.7732,611.5860824535464
other,1660.0,2.0,2.0,105.0,3,154.21898,680.8500484181649
Yelahanka,1326.0,2.0,2.0,78.0,2,123.189378,633.1714735989656
Garudachar Palya,1325.0,2.0,2.0,60.8,3,123.096475,493.9215359335026
EPIP Zone,1499.0,5.0,2.0,102.0,3,139.261597,732.4345131558415
Hegde Nagar,3000.0,7.0,2.0,210.0,6,278.709,753.4740535827691
Kanakpura Road,1665.0,3.0,2.0,88.0,3,154.683495,568.9036183207523
Dasanapura,708.0,2.0,2.0,37.0,2,65.775324,562.5209843132054
Kasavanhalli,1060.0,2.0,2.0,58.06,2,98.47718,589.5782149732557
Rajaji Nagar,710.0,6.0,3.0,160.0,6,65.96113,2425.670997449559
Sanjay nagar,1000.0,2.0,2.0,70.0,2,92.903,753.4740535827691
Electronic City,1000.0,2.0,1.0,28.88,2,92.903,310.86186667814815
other,1450.0,2.0,2.0,70.0,3,134.70935,519.6372783329442
ISRO Layout,1200.0,4.0,2.0,155.0,4,111.4836,1390.3390274443955
Thanisandra,1296.0,2.0,3.0,80.0,2,120.402288,664.4392006902726
Domlur,1540.0,3.0,2.0,90.0,3,143.07062,629.0599705236477
Kengeri,2894.0,4.0,1.0,245.0,4,268.861282,911.2505831166868
Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3,123.56099,388.47212214793683
other,1200.0,2.0,1.0,65.0,2,111.4836,583.0453986057142
other,1200.0,3.0,1.0,90.0,3,111.4836,807.2936288386812
Yeshwanthpur,2502.0,3.0,3.0,138.0,3,232.443306,593.6931563002291
Chandapura,650.0,1.0,1.0,17.0,2,60.38695,281.517778261694
Kothanur,2400.0,2.0,1.0,150.0,3,222.9672,672.7446906989011
other,1007.0,2.0,2.0,43.0,2,93.553321,459.6309306860416
other,1200.0,2.0,2.0,50.0,2,111.4836,448.49646046593404
other,966.0,2.0,2.0,49.9,2,89.744298,556.024183285717
Nagarbhavi,1630.0,2.0,1.0,98.0,3,151.43189,647.1556288440961
Rajaji Nagar,1640.0,3.0,2.0,229.0,3,152.36092,1503.0100894638863
other,782.0,2.0,2.0,55.68,2,72.650146,766.4127749997914
Devanahalli,1260.0,2.0,2.0,66.78,2,117.05778,570.4874977126681
other,1800.0,3.0,3.0,120.0,3,167.2254,717.5943367454944
other,1413.0,2.0,2.0,75.0,3,131.271939,571.3330706572408
Whitefield,1116.0,2.0,1.0,51.91,2,103.679748,500.6763712427233
Electronic City,1530.0,2.0,1.0,45.9,3,142.14159,322.9174515354725
Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4,343.7411,654.5624017610928
Sarjapur  Road,2497.0,3.0,2.0,140.0,3,231.978791,603.5034470026185
Kengeri,1540.0,2.0,3.0,64.0,3,143.07062,447.33153459459396
Thanisandra,1436.0,3.0,1.0,74.75,3,133.408708,560.3082521419817
Malleshwaram,1100.0,2.0,2.0,75.0,2,102.1933,733.9032989442557
Hennur Road,276.0,3.0,3.0,23.0,2,25.641227999999998,896.9929209318681
Thanisandra,1427.0,3.0,2.0,120.0,3,132.57258099999999,905.1645452991521
Akshaya Nagar,2061.0,3.0,1.0,200.0,3,191.473083,1044.5332412598173
Hebbal,5611.5,4.0,0.0,477.0,4,521.3251845,914.9759385928919
Shampura,2650.0,4.0,2.0,150.0,4,246.19295,609.2782104442878
Devanahalli,1282.0,2.0,2.0,68.52,3,119.101646,575.3069105358963
Kadugodi,1050.0,2.0,1.0,34.0,2,97.54814999999999,348.54582070495445
LB Shastri Nagar,1600.0,3.0,2.0,65.0,3,148.6448,437.28404895428565
other,945.0,2.0,1.0,54.0,2,87.793335,615.0808600675666
Hormavu,1500.0,2.0,1.0,78.0,2,139.3545,559.7235826614856
Vishwapriya Layout,950.0,7.0,0.0,115.0,7,88.25785,1303.0002430378713
other,1870.0,3.0,3.0,110.0,3,173.72861,633.1714735989657
Sarjapur,1600.0,3.0,1.0,75.0,3,148.6448,504.5585180241757
Electronic City,880.0,1.0,1.0,16.5,2,81.75464,201.8234072096703
other,1200.0,4.0,0.0,210.0,4,111.4836,1883.685133956923
Kudlu Gate,1535.0,3.0,2.0,83.0,3,142.60610499999999,582.0227682398311
Kanakpura Road,950.0,2.0,1.0,57.0,2,88.25785,645.834903070945
Devanahalli,1360.0,2.0,1.0,65.0,2,126.34808,514.4518222991596
8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2,99.7313705,541.5046412101597
Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3,118.91584,423.82915514030765
other,1260.0,2.0,2.0,85.05,3,117.05778,726.5642659548131
Yelahanka,3050.0,5.0,1.0,213.0,5,283.35415,751.7094773448704
Kasavanhalli,1563.05,3.0,1.0,105.0,3,145.21203415,723.0805670798463
ISRO Layout,1000.0,2.0,1.0,60.0,2,92.903,645.834903070945
Anandapura,1167.0,2.0,1.0,43.76,2,108.417801,403.62375547535777
Vishveshwarya Layout,4000.0,7.0,2.0,225.0,7,371.612,605.4702216290109
Kengeri Satellite Town,890.0,2.0,1.0,35.0,2,82.68367,423.3000301026793
other,1612.0,3.0,3.0,46.74,3,149.759636,312.1001175510336
Mysore Road,1710.0,4.0,2.0,91.31,3,158.86413,574.7678849844833
Kannamangala,957.0,2.0,1.0,58.0,2,88.908171,652.3584879504494
Devarachikkanahalli,1250.0,2.0,3.0,44.0,3,116.12875,378.8898098016211
Hulimavu,1125.0,2.0,2.0,50.0,2,104.515875,478.3962244969963
Electronic City Phase II,1020.0,2.0,1.0,30.6,2,94.76106,322.9174515354725
Kalena Agrahara,1200.0,2.0,2.0,50.0,2,111.4836,448.49646046593404
Thanisandra,1735.0,3.0,3.0,135.0,3,161.186705,837.5380587375367
Thanisandra,2050.0,3.0,1.0,145.0,3,190.45115,761.3500889860733
Mahalakshmi Layout,3750.0,4.0,0.0,760.0,4,348.38625,2181.486783706303
other,1350.0,2.0,3.0,48.0,3,125.41905,382.716979597597
Hosa Road,1063.0,2.0,1.0,32.0,2,98.755889,324.03130916071245
other,1904.0,3.0,1.0,150.0,3,176.887312,847.997509284329
Whitefield,4200.0,4.0,2.0,420.0,4,390.19259999999997,1076.3915051182416
other,2000.0,3.0,1.0,175.0,3,185.806,941.8425669784614
Sarjapur,1242.5,2.0,0.0,43.49,2,115.4319775,376.7586845681475
other,1425.0,2.0,2.0,75.0,3,132.386775,566.5218447990745
Electronic City,1500.0,2.0,1.0,64.5,3,139.3545,462.8483472008439
Electronic City,1060.0,2.0,1.0,60.0,2,98.47718,609.2782104442877
other,1470.0,2.0,2.0,70.0,3,136.56741,512.5673833896388
other,1300.0,6.0,0.0,99.0,6,120.7739,819.7135308208148
Attibele,450.0,1.0,1.0,11.0,1,41.80635,263.11792347334796
Electronic City,1152.0,2.0,1.0,64.5,2,107.024256,602.6671187510989
Electronic City,1350.0,2.0,1.0,56.0,3,125.41905,446.5031428638632
CV Raman Nagar,1550.0,3.0,3.0,65.0,3,143.99965,451.3899860173271
other,1500.0,3.0,2.0,100.0,3,139.3545,717.5943367454944
Kumaraswami Layout,600.0,3.0,2.0,85.0,5,55.7418,1524.8879655841756
Nagavara,400.0,1.0,0.0,14.0,1,37.1612,376.73702679138455
Malleshwaram,705.0,1.0,2.0,67.0,1,65.496615,1022.9536289776196
Electronic City,770.0,1.0,1.0,36.0,2,71.53531,503.2479764189182
Hulimavu,1242.0,2.0,3.0,51.0,2,115.385526,441.99651176352916
Hebbal Kempapura,1700.0,3.0,2.0,155.0,3,157.9351,981.4157840783968
Thanisandra,2144.0,3.0,2.0,145.0,3,199.184032,727.9700011294078
Vijayanagar,1704.0,3.0,2.0,110.0,3,158.306712,694.8536711444048
Electronic City,1070.0,2.0,1.0,52.0,2,99.40621,523.10615202008
other,1846.0,3.0,2.0,300.0,3,171.498938,1749.2819693145855
other,1340.0,2.0,2.0,55.7,2,124.49002,447.42542414243326
Electronic City,1025.0,2.0,1.0,46.0,2,95.225575,483.06350473599133
KR Puram,1277.5,2.0,0.0,56.8,2,118.6835825,478.58346372380527
Marathahalli,1200.0,2.0,2.0,52.0,2,111.4836,466.4363188845714
Kanakpura Road,2250.0,4.0,1.0,110.0,4,209.03175,526.2358469466959
Pattandur Agrahara,1550.0,2.0,3.0,80.0,3,143.99965,555.5569058674795
other,1800.0,7.0,1.0,250.0,7,167.2254,1494.9882015531132
Marathahalli,1200.0,2.0,2.0,60.0,2,111.4836,538.1957525591208
Yelahanka,1327.0,2.0,2.0,98.0,2,123.282281,794.9236435688597
Kothanur,1186.0,2.0,2.0,58.0,2,110.182958,526.3971947458517
other,1783.0,3.0,1.0,115.0,3,165.646049,694.2513914110924
HSR Layout,1400.0,3.0,2.0,56.0,3,130.0642,430.5566020472966
Nagasandra,980.0,2.0,1.0,48.0,2,91.04494,527.2121657722
EPIP Zone,1285.0,2.0,2.0,82.0,2,119.380355,686.8801822544422
other,912.0,2.0,1.0,70.0,3,84.727536,826.1776903319837
Whitefield,1225.0,2.0,2.0,47.6,2,113.806175,418.25498484594533
Whitefield,1075.0,2.0,1.0,53.0,2,99.870725,530.6860443838773
Kadugodi,1260.0,2.0,2.0,54.0,3,117.05778,461.310645050675
Yelahanka,1282.0,2.0,2.0,48.7,3,119.101646,408.89443291153174
Kogilu,1909.0,3.0,2.0,88.0,3,177.351827,496.18885516189243
Panathur,1359.0,2.0,1.0,87.0,2,126.255177,689.0806544907065
other,1207.0,2.0,2.0,43.5,2,112.133921,387.9290014303522
Padmanabhanagar,1736.0,6.0,0.0,190.0,4,161.279608,1178.0782602100571
1st Block Jayanagar,2850.0,4.0,1.0,428.0,4,264.77355,1616.4756638266927
Kammasandra,1595.0,3.0,2.0,65.0,3,148.180285,438.6548453459919
other,1798.0,3.0,2.0,89.0,3,167.039594,532.8078084289406
Electronics City Phase 1,1475.0,3.0,2.0,78.29,3,137.031925,571.3267182081839
other,1580.0,3.0,3.0,100.0,3,146.78674,681.260446277368
Dasarahalli,1295.0,2.0,1.0,65.0,2,120.309385,540.2737284377274
Magadi Road,3600.0,6.0,0.0,141.0,6,334.4508,421.58667283797797
Electronic City,589.0,1.0,1.0,27.0,1,54.719867,493.4222519217746
other,1415.0,3.0,3.0,78.0,3,131.457745,593.346554058112
Sarjapur  Road,1787.0,3.0,2.0,98.29,3,166.017661,592.0454450927363
Sarjapur  Road,1787.0,3.0,2.0,125.0,3,166.017661,752.9319425841086
Koramangala,1475.0,2.0,3.0,90.0,3,137.031925,656.781257360283
other,2000.0,4.0,1.0,75.5,4,185.806,406.3377931821362
Sarjapur  Road,984.0,2.0,1.0,44.28,2,91.416552,484.37617730320875
other,2405.0,4.0,2.0,260.0,3,223.431715,1163.6664920197206
7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,100.33524,717.5943367454944
other,1500.0,2.0,1.0,115.0,2,139.3545,825.2334872573185
Hebbal,1900.0,3.0,2.0,119.0,3,176.5157,674.1609953108987
Dommasandra,805.0,2.0,1.0,22.14,2,74.786915,296.04109221512886
Budigere,1153.0,2.0,2.0,56.4,2,107.117159,526.5262869789144
other,1148.0,2.0,2.0,60.0,2,106.652644,562.5739573788719
other,1110.0,2.0,2.0,55.0,2,103.12233,533.3471421757052
Electronic City,1100.0,2.0,2.0,42.0,2,102.1933,410.9858474087832
Kalyan nagar,1290.0,2.0,2.0,110.0,2,119.84487,917.8532214186556
other,1500.0,2.0,1.0,65.0,3,139.3545,466.43631888457134
other,1080.0,2.0,2.0,39.0,2,100.33524,388.69693240380946
Vijayanagar,1933.0,3.0,1.0,129.0,3,179.581499,718.3368037260898
Ramamurthy Nagar,3500.0,5.0,2.0,150.0,5,325.1605,461.31064505067496
other,1060.0,2.0,2.0,60.0,2,98.47718,609.2782104442877
Chandapura,645.0,1.0,1.0,16.45,1,59.922435,274.5215544061252
other,2600.0,8.0,2.0,180.0,8,241.5478,745.1941189280134
Chandapura,645.0,1.0,1.0,16.45,1,59.922435,274.5215544061252
other,1644.0,3.0,3.0,84.0,3,152.732532,549.9810610093206
other,1285.0,2.0,3.0,72.5,2,119.380355,607.3026001639885
Electronic City,1200.0,3.0,1.0,90.0,3,111.4836,807.2936288386812
Electronic City,910.0,2.0,1.0,40.0,2,84.54173,473.1391231288974
Kothanur,1577.0,3.0,1.0,70.0,3,146.508031,477.7895076618701
other,4050.0,3.0,2.0,280.0,3,376.25715,744.1719047731052
OMBR Layout,2420.0,3.0,2.0,185.0,3,224.82526,822.8612745738625
Chandapura,800.0,1.0,1.0,20.0,2,74.3224,269.0978762795604
other,1060.0,2.0,2.0,55.0,2,98.47718,558.5050262405971
7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2,117.98681,788.2237005983974
other,900.0,2.0,2.0,22.5,2,83.6127,269.0978762795604
other,1280.0,2.0,1.0,69.0,2,118.91584,580.2422957278021
Horamavu Agara,1200.0,2.0,0.0,95.0,4,111.4836,852.1432748852746
Sarjapur  Road,1025.0,2.0,2.0,36.0,2,95.225575,378.0496993586019
Electronic City,1108.0,2.0,1.0,63.0,2,102.936524,612.0276608524298
other,3045.0,3.0,2.0,170.0,3,282.889635,600.9410701809559
Ambedkar Nagar,2900.0,3.0,2.0,300.0,4,269.4187,1113.5084535705948
Vijayanagar,1500.0,3.0,2.0,75.5,3,139.3545,541.7837242428483
Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2,120.309385,364.8925642833267
Budigere,1162.0,2.0,1.0,59.9,2,107.953286,554.8696312958922
Sarjapur  Road,1035.0,2.0,2.0,49.2,2,96.154605,511.67596185330905
Attibele,1600.0,4.0,0.0,52.8,4,148.6448,355.20919668901973
other,1464.0,3.0,2.0,46.0,3,136.009992,338.2104455972617
Hennur Road,1866.0,2.0,2.0,61.58,3,173.356998,355.2207335754626
other,700.0,1.0,1.0,26.0,2,65.0321,399.80255904391834
Kalena Agrahara,1804.0,3.0,2.0,120.0,3,167.597012,716.0032184822006
Sarjapur,913.0,2.0,1.0,32.0,2,84.820439,377.2675592966455
Talaghattapura,1868.0,3.0,2.0,131.0,3,173.542804,754.8569977006941
Kengeri Satellite Town,883.0,2.0,1.0,45.0,2,82.033349,548.5573921893644
other,900.0,2.0,1.0,110.0,2,83.6127,1315.5896173667397
Kogilu,1664.0,2.0,3.0,73.95,3,154.590592,478.3602872806128
Hegde Nagar,2026.0,3.0,2.0,132.0,3,188.221478,701.301474213267
Balagere,1210.0,2.0,1.0,80.9,2,112.41263,719.6700228435186
other,4111.0,4.0,2.0,250.0,4,381.924233,654.5800931149608
Kadugodi,1762.0,3.0,3.0,91.45,3,163.695086,558.6606307778842
Jigani,1252.0,3.0,3.0,55.0,3,116.314556,472.85569314299755
Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2,79.98948299999999,431.3067006571352
7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3,131.92226,758.022186702987
other,1450.0,6.0,0.0,250.0,6,134.70935,1855.847422617658
Electronics City Phase 1,1490.0,3.0,1.0,78.8,3,138.42547,569.2594000222647
Bisuvanahalli,1075.0,2.0,1.0,46.0,3,99.870725,460.59543474827086
Old Madras Road,1425.0,2.0,2.0,94.0,3,132.386775,710.0407121481734
Kalena Agrahara,1200.0,2.0,1.0,40.0,2,111.4836,358.7971683727472
Kaggadasapura,1280.0,2.0,2.0,56.0,3,118.91584,470.9212834892307
other,1084.0,2.0,2.0,50.0,2,100.706852,496.4905466412554
Chandapura,1015.0,2.0,2.0,25.88,2,94.296545,274.4533216991142
Kanakpura Road,1017.0,2.0,1.0,51.25,2,94.482351,542.4293474661739
Haralur Road,1027.0,2.0,2.0,44.0,2,95.411381,461.16091748006454
Electronic City Phase II,1069.0,2.0,2.0,45.0,2,99.313307,453.1114848486518
Hebbal,1349.0,2.0,1.0,98.2,2,125.326147,783.5555656235086
9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2,93.367515,535.518161750369
Jakkur,1417.0,2.0,3.0,75.0,2,131.643551,569.7202744097962
TC Palaya,1475.0,3.0,1.0,98.0,3,137.031925,715.161813570086
other,950.0,2.0,2.0,47.0,2,88.25785,532.53053411113
other,2000.0,4.0,0.0,120.0,4,185.806,645.834903070945
Giri Nagar,880.0,3.0,1.0,140.0,3,81.75464,1712.44103086993
Sarjapur  Road,1863.0,3.0,2.0,104.0,4,173.078289,600.884146711203
Singasandra,1010.0,2.0,1.0,29.5,2,93.83203,314.39157822760524
Kalena Agrahara,1425.0,2.0,1.0,70.0,3,132.386775,528.7537218124695
Vijayanagar,1450.0,3.0,0.0,100.0,3,134.70935,742.3389690470632
Kothanur,1847.0,3.0,2.0,105.0,3,171.591841,611.9172064830286
AECS Layout,1100.0,2.0,3.0,45.0,2,102.1933,440.3419793665534
Kanakpura Road,525.0,1.0,1.0,26.0,1,48.774074999999996,533.0700787252244
Mallasandra,1665.0,3.0,2.0,95.0,3,154.683495,614.1573152326304
Begur,1664.0,4.0,3.0,65.0,4,154.590592,420.4654316868132
JP Nagar,1850.0,3.0,3.0,150.0,3,171.87055,872.7498690147904
Panathur,1438.0,2.0,3.0,100.0,2,133.594514,748.5337309584434
other,1560.0,3.0,3.0,115.0,3,144.92867999999999,793.4937377474217
Yelahanka,1350.0,2.0,1.0,55.55,2,125.41905,442.9151711801357
Kanakpura Road,1550.0,3.0,3.0,67.0,3,143.99965,465.2789086640141
Malleshpalya,1140.0,2.0,2.0,46.5,2,105.90942,439.0544297192828
other,1200.0,5.0,2.0,180.0,5,111.4836,1614.5872576773625
other,850.0,2.0,2.0,27.0,2,78.96755,341.91259574344144
Whitefield,1280.0,2.0,2.0,75.0,2,118.91584,630.6981475302197
Munnekollal,1170.0,2.0,2.0,52.0,2,108.69651,478.39622449699624
other,1113.0,2.0,1.0,51.0,2,103.401039,493.2252179787091
Hennur Road,1385.0,2.0,1.0,83.09,2,128.670655,645.7571852727415
Electronic City,1128.0,2.0,1.0,65.0,2,104.794584,620.2610623465044
Marathahalli,1200.0,2.0,2.0,128.0,2,111.4836,1148.150938792791
other,1200.0,4.0,3.0,165.0,4,111.4836,1480.0383195375823
Rajaji Nagar,2390.0,3.0,2.0,415.0,3,222.03817,1869.0480109793734
Giri Nagar,2400.0,4.0,1.0,400.0,4,222.9672,1793.9858418637361
Haralur Road,1464.0,3.0,2.0,56.0,3,136.009992,411.73445550970985
other,1200.0,2.0,2.0,55.0,2,111.4836,493.3461065125274
Kaval Byrasandra,1200.0,2.0,2.0,52.0,2,111.4836,466.4363188845714
Kaggalipura,1150.0,2.0,1.0,55.0,3,106.83845,514.7959372304634
other,1645.0,3.0,2.0,95.0,3,152.825435,621.6242734725407
Sarjapur  Road,1000.0,2.0,1.0,67.0,2,92.903,721.1823084292218
Haralur Road,2650.0,4.0,2.0,198.0,4,246.19295,804.2472377864598
6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2,110.740376,668.2296256606534
Ulsoor,2135.0,3.0,2.0,215.0,3,198.347905,1083.9539747092363
Whitefield,1173.0,2.0,1.0,58.0,2,108.975219,532.2310937498552
Uttarahalli,1020.0,2.0,2.0,45.0,2,94.76106,474.87860519922424
Thigalarapalya,3122.0,6.0,2.0,230.0,4,290.043166,792.9854137642395
Somasundara Palya,1600.0,3.0,3.0,64.0,3,148.6448,430.5566020472966
other,1200.0,2.0,0.0,79.0,2,111.4836,708.6244075361758
other,1230.0,2.0,3.0,48.0,2,114.27069,420.05522150955767
Devarachikkanahalli,1250.0,2.0,2.0,40.0,2,116.12875,344.4452816378373
Kalena Agrahara,1325.0,2.0,2.0,76.0,2,123.096475,617.4019199168782
7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3,171.87055,872.7498690147904
Basaveshwara Nagar,1200.0,2.0,2.0,65.0,2,111.4836,583.0453986057142
other,1350.0,2.0,0.0,140.0,3,125.41905,1116.257857159658
Bommasandra,1260.0,3.0,1.0,49.36,3,117.05778,421.6721007352096
other,1800.0,3.0,0.0,150.0,3,167.2254,896.992920931868
other,11.0,3.0,2.0,74.0,3,1.021933,72411.79216249989
Ardendale,1100.0,2.0,1.0,43.25,2,102.1933,423.2175690578541
Harlur,1508.0,2.0,1.0,77.0,2,140.097724,549.6163520829218
other,1592.0,3.0,2.0,75.0,3,147.901576,507.0939879639957
Akshaya Nagar,1388.0,2.0,3.0,57.0,2,128.949364,442.033975444811
Electronic City Phase II,630.0,1.0,1.0,28.35,1,58.52889,484.37617730320875
other,2000.0,3.0,2.0,365.0,3,185.806,1964.414496840791
other,1762.0,3.0,1.0,125.0,3,163.695086,763.6148589090817
other,950.0,2.0,2.0,50.0,2,88.25785,566.5218447990745
Kodihalli,3252.0,5.0,3.0,335.0,4,302.120556,1108.8288874988036
Magadi Road,1116.0,2.0,1.0,50.0,2,103.679748,482.25425856552044
Narayanapura,1308.0,2.0,2.0,89.04,2,121.517124,732.7362355942525
other,1200.0,3.0,0.0,90.0,3,111.4836,807.2936288386812
other,1500.0,4.0,2.0,230.0,4,139.3545,1650.466974514637
Bannerghatta Road,500.0,1.0,1.0,18.5,1,46.4515,398.26485689374937
Hennur,1075.0,2.0,1.0,52.0,2,99.870725,520.6731001502193
Chandapura,530.0,1.0,0.0,11.66,1,49.23859,236.80613112601316
Bellandur,1205.0,2.0,3.0,66.0,2,111.948115,589.5588326788709
5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2,99.870725,600.7766540194838
KR Puram,930.0,2.0,2.0,39.0,2,86.39979,451.38998601732715
Balagere,1380.0,2.0,1.0,60.0,2,128.20614,467.9963065731485
Hebbal,2483.0,5.0,2.0,212.0,4,230.678149,919.0293962346647
Kodigehaali,1166.0,2.0,2.0,55.0,2,108.324898,507.7318420369064
Bannerghatta Road,1050.0,2.0,1.0,65.0,2,97.54814999999999,666.3375984065306
other,2023.71,3.0,2.0,275.0,3,188.00873013,1462.698034340476
Begur Road,1200.0,2.0,2.0,46.8,2,111.4836,419.79268699611424
Lakshminarayana Pura,1600.0,2.0,1.0,108.0,3,148.6448,726.5642659548131
Billekahalli,1935.0,3.0,2.0,110.0,3,179.767305,611.9021476124371
